,,,,,,,,,,,,,,
دیده بان بازار : 1400/6/16,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
اخزا9142,اسنادخزانه-م14بودجه99-021025,1,163659,1.03269E+11,627474,631000,631000,"3,526.00",0.56,631000,"3,526.00",0.56,631000,631000
ضپنا8004,اختيارخ رمپنا-18000-1400/08/05,1,12,6000000,4200,500,500,"-3,700.00",-88.10,500,"-3,700.00",-88.10,500,500
شكف,كف,1,140,13580140,98980,97001,97001,"-1,979.00",-2.00,98977,-3.00,0,97001,97001
طخود7075,اختيارف خودرو-2000-1400/07/07,1,50,2000000,38,40,40,2.00,5.26,40,2.00,5.26,40,40
ضذوب907,اختيارخ ذوب-7000-14000917,1,100,22000000,1,220,220,219.00,"21,900.00",220,219.00,"21,900.00",220,220
شپنا2,پالايش نفت اصفهان,1,22000000,3.0074E+11,14080,13670,13670,-410.00,-2.91,13670,-410.00,-2.91,13670,13670
ضبدر8078,اختيارخ شبندر-5157-1400/08/30,1,2,13115200,1754,1400,1400,-354.00,-20.18,1400,-354.00,-20.18,1400,1400
صشستا3112,صكوك اجاره شستا311-بدون ضامن,1,50000,50000000000,999999,1000000,1000000,1.00,0,1000000,1.00,0,1000000,1000000
اخزا0012,اسنادخزانه-م1بودجه00-030821,1,1650000,8.8605E+11,533291,537000,537000,"3,709.00",0.70,537000,"3,709.00",0.70,537000,537000
ضپال2005,اختيارخ اپال-24000-1401/02/12,1,10,10000000,1,1000,1000,999.00,"99,900.00",1000,999.00,"99,900.00",1000,1000
ضصاد8038,اختيارخ وبصادر-1189-1400/08/12,1,1,1550000,1500,1550,1550,50.00,3.33,1550,50.00,3.33,1550,1550
ضصاد8032,اختيارخ وبصادر-1989-1400/08/12,1,1,740000,746,740,740,-6.00,-0.80,740,-6.00,-0.80,740,740
زير0103پ04,زيره سبز0103شركت مينوبذر(پ),1,60,45000000,778680,750000,750000,"-28,680.00",-3.68,750000,"-28,680.00",-3.68,750000,750000
ضجار7039,اختيارخ وتجارت-1997-1400/07/21,1,1,670000,678,670,670,-8.00,-1.18,670,-8.00,-1.18,670,670
صبا1404,اجاصبابدون ضامن بارتبه اعتباري,1,50000,50000000000,1000000,1000000,1000000,0,0,1000000,0,0,1000000,1000000
ضغدر8062,اختيارخ وغدير-18000-1400/08/26,1,2,1460000,768,730,730,-38.00,-4.95,730,-38.00,-4.95,730,730
ضملت8040,اختيارخ وبملت-2934-1400/08/19,1,2,2980000,1180,1490,1490,310.00,26.27,1490,310.00,26.27,1490,1490
ضصاد8035,اختيارخ وبصادر-3489-1400/08/12,1,25,625000,66,25,25,-41.00,-62.12,25,-41.00,-62.12,25,25
ضچاد7038,اختيارخ كچاد-36000-1400/07/04,1,2,300000,1,150,150,149.00,"14,900.00",150,149.00,"14,900.00",150,150
اراد544,مرابحه عام دولت5-ش.خ 0109,1,10000000,9.5915E+12,990000,959150,959150,"-30,850.00",-3.12,959150,"-30,850.00",-3.12,959150,959150
مصفها203,مشاركت ش اصفهان203-3ماهه18%,1,500,498500000,977000,997000,997000,"20,000.00",2.05,997000,"20,000.00",2.05,997000,997000
ارفع2,شركت آهن و فولاد ارفع,1,18304904,3.38641E+11,18785,18500,18500,-285.00,-1.52,18500,-285.00,-1.52,18500,18500
